Essence_billon;Module;ParameterEstimate;Produit;QualiteABCD;Effet
CHX;Vol;-2.2470875002527;F2;B;classepetro_abcd
CHX;Vol;-2.34112981744912;F2;C;classepetro_abcd
CHX;Vol;-2.21909908983084;F2;D;classepetro_abcd
CHX;Vol;0;F3;A;classepetro_abcd
CHX;Vol;-2.38861736633305;F3;B;classepetro_abcd
CHX;Vol;-2.07566184461701;F3;C;classepetro_abcd
CHX;Vol;-2.08714751607656;F3;D;classepetro_abcd
CHX;Vol;0;F4;A;classepetro_abcd
CHX;Vol;-2.52171086744592;F4;B;classepetro_abcd
CHX;Vol;-2.85456561209979;F4;C;classepetro_abcd
CHX;Vol;-1.60574554975796;F4;D;classepetro_abcd
CHX;Vol;0;P;A;classepetro_abcd
CHX;Vol;-3.98557269934942;P;B;classepetro_abcd
CHX;Vol;-3.64055495071057;P;C;classepetro_abcd
CHX;Vol;-4.05924792598003;P;D;classepetro_abcd
CHX;Vol;0;DER;NA;dhpcm_classepetro
CHX;Vol;0.0432114381717314;F1;NA;dhpcm_classepetro
CHX;Vol;0.0295785523533396;F2;NA;dhpcm_classepetro
CHX;Vol;0.0236169256148984;F3;NA;dhpcm_classepetro
CHX;Vol;0.0119858822371256;F4;NA;dhpcm_classepetro
CHX;Vol;0.0537044262974303;P;NA;dhpcm_classepetro
