Essence_billon;Module;ParameterEstimate;Produit;Vigueur1234;Effet
HEG;Pres;0;DER;NA;dhpcm_classepetro
HEG;Pres;0;F1;NA;dhpcm_classepetro
HEG;Pres;0.092117627999999993;F2;NA;dhpcm_classepetro
HEG;Pres;-0.016661583;F3;NA;dhpcm_classepetro
HEG;Pres;-0.099833173;F4;NA;dhpcm_classepetro
HEG;Pres;0.02183249;P;NA;dhpcm_classepetro
HEG;Vol;0;DER;pate;classepetro_prod
HEG;Vol;0;DER;sciage;classepetro_prod
HEG;Vol;0;F1;pate;classepetro_prod
HEG;Vol;0;F1;sciage;classepetro_prod
HEG;Vol;-3.852890835;F2;pate;classepetro_prod
HEG;Vol;-3.3378196;F2;sciage;classepetro_prod
HEG;Vol;-3.316409062;F3;pate;classepetro_prod
HEG;Vol;-3.169902963;F3;sciage;classepetro_prod
HEG;Vol;0;F4;pate;classepetro_prod
HEG;Vol;-3.578416513;F4;sciage;classepetro_prod
HEG;Vol;-2.582325936;P;pate;classepetro_prod
HEG;Vol;-2.754356803;P;sciage;classepetro_prod
HEG;Vol;0;DER;NA;dhpcm_classepetro
HEG;Vol;0;F1;NA;dhpcm_classepetro
HEG;Vol;0.058565394;F2;NA;dhpcm_classepetro
HEG;Vol;0.053728017;F3;NA;dhpcm_classepetro
HEG;Vol;0.039794637;F4;NA;dhpcm_classepetro
HEG;Vol;0.051372187;P;NA;dhpcm_classepetro
CHX;Pres;0;DER;nonvig;classepetro_vig
CHX;Pres;0;DER;vigour;classepetro_vig
CHX;Pres;-7.00707844;F1;nonvig;classepetro_vig
CHX;Pres;-4.934009605;F1;vigour;classepetro_vig
CHX;Pres;-3.29662895;F2;nonvig;classepetro_vig
CHX;Pres;-2.060637369;F2;vigour;classepetro_vig
CHX;Pres;5.343877393;F3;nonvig;classepetro_vig
CHX;Pres;5.104843985;F3;vigour;classepetro_vig
CHX;Pres;0.437348271;F4;nonvig;classepetro_vig
CHX;Pres;1.409748913;F4;vigour;classepetro_vig
CHX;Pres;1.350497473;P;nonvig;classepetro_vig
CHX;Pres;1.31315178;P;vigour;classepetro_vig
CHX;Pres;0;DER;NA;dhpcm_classepetro
CHX;Pres;0.106927172;F1;NA;dhpcm_classepetro
