Essence_billon;Module;ParameterEstimate;Produit;PrioriteMSCR;Effet
ERR;Vol;0;F4;S;classepetro_mscr
ERR;Vol;-3.01620779265344;P;C;classepetro_mscr
ERR;Vol;-3.06230174837022;P;M;classepetro_mscr
ERR;Vol;0;P;R;classepetro_mscr
ERR;Vol;-3.00343182638138;P;S;classepetro_mscr
ERR;Vol;0;DER;NA;dhpcm_classepetro
ERR;Vol;0;F1;NA;dhpcm_classepetro
ERR;Vol;0;F2;NA;dhpcm_classepetro
ERR;Vol;0.0533563727054397;F3;NA;dhpcm_classepetro
ERR;Vol;0;F4;NA;dhpcm_classepetro
ERR;Vol;0.051242407140933303;P;NA;dhpcm_classepetro
HEG;Pres;0;DER;C;classepetro_mscr
HEG;Pres;0;DER;M;classepetro_mscr
HEG;Pres;0;DER;R;classepetro_mscr
HEG;Pres;0;DER;S;classepetro_mscr
HEG;Pres;0;F1;C;classepetro_mscr
HEG;Pres;0;F1;M;classepetro_mscr
HEG;Pres;0;F1;R;classepetro_mscr
HEG;Pres;0;F1;S;classepetro_mscr
HEG;Pres;-5.294497408;F2;C;classepetro_mscr
HEG;Pres;-5.978856571;F2;M;classepetro_mscr
HEG;Pres;0;F2;R;classepetro_mscr
HEG;Pres;-4.900629778;F2;S;classepetro_mscr
HEG;Pres;0.25319121;F3;C;classepetro_mscr
HEG;Pres;-1.064418421;F3;M;classepetro_mscr
HEG;Pres;0;F3;R;classepetro_mscr
HEG;Pres;0.054807753;F3;S;classepetro_mscr
HEG;Pres;1.300911146;F4;C;classepetro_mscr
HEG;Pres;-1.229430312;F4;M;classepetro_mscr
HEG;Pres;0;F4;R;classepetro_mscr
HEG;Pres;0.690976599;F4;S;classepetro_mscr
HEG;Pres;3.606606562;P;C;classepetro_mscr
HEG;Pres;3.843219558;P;M;classepetro_mscr
HEG;Pres;0;P;R;classepetro_mscr
HEG;Pres;1.929712531;P;S;classepetro_mscr
HEG;Pres;0;DER;NA;dhpcm_classepetro
HEG;Pres;0;F1;NA;dhpcm_classepetro
HEG;Pres;0.083035292;F2;NA;dhpcm_classepetro
HEG;Pres;-0.011929831;F3;NA;dhpcm_classepetro
HEG;Pres;-0.075691478;F4;NA;dhpcm_classepetro
HEG;Pres;0.027416726;P;NA;dhpcm_classepetro
HEG;Vol;0;DER;C;classepetro_mscr
HEG;Vol;0;DER;M;classepetro_mscr
HEG;Vol;0;DER;R;classepetro_mscr
HEG;Vol;0;DER;S;classepetro_mscr
HEG;Vol;0;F1;C;classepetro_mscr
HEG;Vol;0;F1;M;classepetro_mscr
HEG;Vol;0;F1;R;classepetro_mscr
HEG;Vol;0;F1;S;classepetro_mscr
HEG;Vol;-2.75836392967782;F2;C;classepetro_mscr
HEG;Vol;-3.52577446460319;F2;M;classepetro_mscr
HEG;Vol;0;F2;R;classepetro_mscr
HEG;Vol;-3.23855212390086;F2;S;classepetro_mscr
HEG;Vol;-3.21229174938919;F3;C;classepetro_mscr
HEG;Vol;-3.27870862765152;F3;M;classepetro_mscr
HEG;Vol;0;F3;R;classepetro_mscr
HEG;Vol;-3.03450305164742;F3;S;classepetro_mscr
HEG;Vol;-3.67345287319791;F4;C;classepetro_mscr
HEG;Vol;-4.3352771136071;F4;M;classepetro_mscr
HEG;Vol;0;F4;R;classepetro_mscr
HEG;Vol;-3.85741195397416;F4;S;classepetro_mscr
HEG;Vol;-2.65453104139771;P;C;classepetro_mscr
HEG;Vol;-2.70145224014336;P;M;classepetro_mscr
HEG;Vol;0;P;R;classepetro_mscr
HEG;Vol;-2.80072630233812;P;S;classepetro_mscr
HEG;Vol;0;DER;NA;dhpcm_classepetro
HEG;Vol;0;F1;NA;dhpcm_classepetro
HEG;Vol;0.053193359608895;F2;NA;dhpcm_classepetro
HEG;Vol;0.0523040782094044;F3;NA;dhpcm_classepetro
HEG;Vol;0.0463604039191906;F4;NA;dhpcm_classepetro
HEG;Vol;0.0524606241613984;P;NA;dhpcm_classepetro
CHR;Pres;0;DER;C;classepetro_mscr
